term,translation,context,status,notes
influential points,Các điểm ảnh hưởng,,approved,
informed consent,sự đồng ý tự nguyện sau khi được giải thích,,approved,
institutional review boards (irb),hội đồng đạo đức nghiên cứu cấp cơ sở,,approved,
interpolation,Nội suy,,approved,
interquartile range,khoảng tứ phân vị,,approved,
interquartile range (iqr),Khoảng biến thiên tứ phân vị,,approved,
interval scale,thang đo khoảng,,approved,
intervals,các khoảng,,approved,
law of large numbers,luật số lớn,,approved,
least-squares line,Đường bình phương tối thiểu,,approved,
least-squares regression line,Đường hồi quy bình phương tối thiểu,,approved,
level of measurement,mức độ đo lường,,approved,
level of significance,Mức ý nghĩa,,approved,
line of best fit,Đường phù hợp nhất,,approved,
linear regression,Hồi quy tuyến tính,,approved,
long-term relative frequency,tần suất tương đối dài hạn,,approved,
lurking variables,biến ẩn,,approved,
margin of error,sai số biên,,approved,
matched pairs,Cặp ghép đôi,,approved,
mean,số trung bình,,approved,
mean square,Bình phương trung bình,,approved,
median,trung vị,,approved,
midpoint,trung điểm,,approved,
mode,yếu vị,,approved,
multivariate,Nhiều biến,,approved,
mutually exclusive,xung khắc,,approved,
nominal scale,thang đo định danh,,approved,
nonsampling errors,sai số phi lấy mẫu,,approved,
normal approximation to the binomial,Xấp xỉ chuẩn cho phân phối nhị thức,,approved,
normal distribution,phân phối chuẩn,,approved,
normally distributed,Có phân phối chuẩn,,approved,
null hypothesis,Giả thuyết không,,approved,
numerical variables,biến định lượng,,approved,
observed values,Các giá trị quan sát,,approved,
one-way anova,Phân tích phương sai một chiều,,approved,
or event,"Biến cố ""HOẶC"" (Biến cố hợp)",,approved,
ordinal scale,thang đo thứ bậc,,approved,
outcome,kết quả,,approved,
outlier,giá trị ngoại lệ,,approved,
outliers,Các điểm bất thường,,approved,
p-value,p-giá trị,,approved,
paired data set,tập dữ liệu cặp,,approved,
parameter,tham số,,approved,
pareto chart,biểu đồ Pareto,,approved,
pearson,Pearson,,approved,
percentile,Bách phân vị,,approved,
percentiles,bách phân vị,,approved,
pie chart,biểu đồ tròn,,approved,
placebo,giả dược,,approved,
point estimate,ước lượng điểm,,approved,
poisson probability distribution,phân phối xác suất Poisson,,approved,
pooled proportion,Tỷ lệ gộp chung,,approved,
population,quần thể,,approved,
population variance,Phương sai tổng thể,,approved,
potential outlier,Điểm bất thường tiềm ẩn,,approved,
probability,xác suất,,approved,
probability density function,hàm mật độ xác suất,,approved,
probability distribution function,hàm phân phối xác suất,,approved,
proportion,tỷ lệ,,approved,
qualitative data,dữ liệu định tính,,approved,
quantitative continuous data,dữ liệu định lượng liên tục,,approved,
quantitative data,dữ liệu định lượng,,approved,
quantitative discrete data,dữ liệu định lượng rời rạc,,approved,
quartiles,tứ phân vị,,approved,
random assignment,phân bổ ngẫu nhiên,,approved,
random sampling,lấy mẫu ngẫu nhiên,,approved,
random variable,biến ngẫu nhiên,,approved,
ratio scale,thang đo tỷ lệ,,approved,
relative frequency,tần suất tương đối,,approved,
replacement,sự thay thế,,approved,
representative sample,mẫu đại diện,,approved,
residual,Phần dư,,approved,
response variable,biến phản hồi,,approved,
sample,mẫu,,approved,
sample mean,Trung bình mẫu,,approved,
sample size,Kích thước mẫu,,approved,
sample space,không gian mẫu,,approved,
samples,các mẫu,,approved,
sampling,lấy mẫu,,approved,
sampling bias,chệch chọn mẫu,,approved,
sampling distribution,phân phối mẫu,,approved,
sampling errors,sai số chọn mẫu,,approved,
sampling variability of a statistic,sự biến thiên mẫu của trị thống kê,,approved,
sampling with replacement,lấy mẫu có hoàn lại,,approved,
simple random sample,Mẫu ngẫu nhiên đơn giản,,approved,
simple random sampling without replacement,lấy mẫu ngẫu nhiên đơn giản không hoàn lại,,approved,
skewed,bị lệch,,approved,
standard deviation,Độ lệch chuẩn,,approved,
standard error,Sai số chuẩn,,approved,
standard error of the mean,Sai số chuẩn của giá trị trung bình,,approved,
standard normal distribution,Phân phối chuẩn tắc,,approved,
statistic,trị thống kê,,approved,
statistics,thống kê học,,approved,
stratified sample,mẫu phân tầng,,approved,
student's t-distribution,Phân phối Student (phân phối t),,approved,
sum of squared errors (sse),Tổng bình phương sai số,,approved,
sum of squares,Tổng các bình phương,,approved,
systematic sample,mẫu hệ thống,,approved,
test for homogeneity,Kiểm định tính đồng nhất,,approved,
test of a single variance,Kiểm định một phương sai,,approved,
test of independence,Kiểm định tính độc lập,,approved,
test statistic,Thống kê kiểm định,,approved,
third quartile,tứ phân vị thứ ba,,approved,
treatments,nghiệm thức,,approved,
tree diagram,sơ đồ cây,,approved,
type i error,Sai lầm loại I,,approved,
type ii error,Sai lầm loại II,,approved,
unfair,không cân đối,,approved,
uniform distribution,Phân phối đều,,approved,
variable,biến,,approved,
variance,phương sai,,approved,
variance between samples,Phương sai giữa các mẫu,,approved,
variance within samples,Phương sai trong nội bộ mẫu,,approved,
variances,Các phương sai,,approved,
variation,sự biến thiên,,approved,
venn diagram,sơ đồ Venn,,approved,
z-score,Điểm chuẩn z (z-score),,approved,
z-scores,Các điểm chuẩn z,,approved,
