key,translation,options,desc_en,desc_vi,chapter,status,notes
berger                                            ," ""Berger""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
binomial nomenclature                             ," ""binomial nomenclature""                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
bioarchaeology                                    ," ""khảo cổ sinh học""                                  "," """""," ""approved"""," """"", 4," ""approved"""," """""
biological anthropology                           ," ""Biological anthropology""                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
biological species definition                     ," ""định nghĩa loài sinh học""                          "," """""," ""approved"""," """"", 4," ""approved"""," """""
bipedal locomotion                                ," ""bipedal locomotion""                                "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
brachiators                                       ," ""Brachiators""                                       "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
broom                                             ," ""Broom""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
brunet                                            ," ""Brunet""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
cartmill                                          ," ""Cartmill""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
catarrhini                                        ," ""Catarrhines""                                       "," """""," ""approved"""," """"", 4," ""approved"""," """""
catastrophism                                     ," ""thảm họa""                                          "," """""," ""approved"""," """"", 4," ""approved"""," """""
cell division                                     ," ""Cell division""                                     "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
cell theory                                       ," ""cell theory""                                       "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
cells                                             ," ""Cells""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
cenozoic era                                      ," ""Cenozoic era""                                      "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
cercopithecinae                                   ," ""Cercopithecinae""                                   "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
cercopithecoidea                                  ," ""Cercopithecoidea""                                  "," """""," ""approved"""," """"", 4," ""approved"""," """""
chimpanzees                                       ," ""chimpanzees""                                       "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
cladistics                                        ," ""phân loại học""                                     "," """""," ""approved"""," """"", 4," ""approved"""," """""
cladograms                                        ," ""cladograms""                                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
class                                             ," ""class""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
colobinae                                         ," ""Colobinae""                                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
cuvier                                            ," ""Cuvier""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
dart                                              ," ""Dart""                                              "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
darwin                                            ," ""Darwin""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
david                                             ," ""David""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
derived characteristics                           ," ""đặc điểm bắt nguồn""                                "," """""," ""approved"""," """"", 4," ""approved"""," """""
derived traits                                    ," ""derived traits""                                    "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
diastema                                          ," ""khe hở""                                            "," """""," ""approved"""," """"", 4," ""approved"""," """""
dihybrid crosses                                  ," ""dihybrid crosses""                                  "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
dominant                                          ," ""dominant""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
east african cichlid                              ," ""East African cichlid""                              "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
eastern rift valley                               ," ""Eastern Rift Valley""                               "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
ecological species definition                     ," ""định nghĩa loài sinh thái""                         "," """""," ""approved"""," """"", 4," ""approved"""," """""
edmonstone                                        ," ""Edmonstone""                                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
eoarchean                                         ," ""Eoarchean""                                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
eocene epoch                                      ," ""Eocene epoch""                                      "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
ethnotaxonomy                                     ," ""phân loại dân tộc học""                             "," """""," ""approved"""," """"", 4," ""approved"""," """""
eukaryotes                                        ," ""Eukaryotes""                                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
eukaryotic cells                                  ," ""eukaryotic cells""                                  "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
evolution                                         ," ""sự tiến hóa""                                       "," """""," ""approved"""," """"", 4," ""approved"""," """""
evolutionary anthropology                         ," ""evolutionary anthropology""                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
evolutionary perspective                          ," ""evolutionary perspective""                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
fayum                                             ," ""Fayum""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
folk taxonomy                                     ," ""folk taxonomy""                                     "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
foramen magnum                                    ," ""lỗ lớn""                                            "," """""," ""approved"""," """"", 4," ""approved"""," """""
forensic anthropology                             ," ""nhân chủng học pháp y""                             "," """""," ""approved"""," """"", 4," ""approved"""," """""
fossil                                            ,hóa thạch," """""," """""," """"", 4,approved," """""
fossils                                           ," ""fossils""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
galápagos islands                                 ," ""Galápagos Islands""                                 "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
gene flow                                         ," ""gene flow""                                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
genes                                             ," ""genes""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
genetic anthropology                              ," ""nhân chủng học di truyền""                          "," """""," ""approved"""," """"", 4," ""approved"""," """""
genetic drift                                     ," ""sự trôi dạt di truyền""                             "," """""," ""approved"""," """"", 4," ""approved"""," """""
genetic engineering                               ," ""Genetic engineering""                               "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
genotype                                          ," ""kiểu gen""                                          "," """""," ""approved"""," """"", 4," ""approved"""," """""
genus                                             ," ""genus""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
genus name                                        ," ""genus name""                                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
gracile species                                   ," ""Gracile species""                                   "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
gradualism                                        ," ""chủ nghĩa tiến hóa""                                "," """""," ""approved"""," """"", 4," ""approved"""," """""
great chain of being                              ," ""chuỗi vĩ đại của sự tồn tại""                       "," """""," ""approved"""," """"", 4," ""approved"""," """""
haplorrhini                                       ," ""Haplorrhini""                                       "," """""," ""approved"""," """"", 4," ""approved"""," """""
hms beagle                                        ," ""HMS Beagle""                                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
hominids                                          ,họ người," """""," """""," """"", 4,approved," """""
hominin                                           ," ""người tiền sử""                                     "," """""," ""approved"""," """"", 4," ""approved"""," """""
hominoidea                                        ," ""Hominoidea""                                        "," """""," ""approved"""," """"", 4," ""approved"""," """""
homologous structures                             ," ""cấu trúc tương đồng""                               "," """""," ""approved"""," """"", 4," ""approved"""," """""
hooke                                             ," ""Hooke""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
hybrid                                            ," ""hybrid""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
hybrid zones                                      ," ""khu vực lai""                                       "," """""," ""approved"""," """"", 4," ""approved"""," """""
indicator artifacts                               ," ""indicator artifacts""                               "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
industrial melanism                               ," ""bệnh hắc tố công nghiệp""                           "," """""," ""approved"""," """"", 4," ""approved"""," """""
infant cranial boarding                           ," ""infant cranial boarding""                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
inheritance of acquired characteristics           ," ""sự kế thừa các đặc điểm thu được""                  "," """""," ""approved"""," """"", 4," ""approved"""," """""
interspecific variation                           ," ""sự biến dị giữa các loài""                          "," """""," ""approved"""," """"", 4," ""approved"""," """""
intraspecific variation                           ," ""biến dị nội loài""                                  "," """""," ""approved"""," """"", 4," ""approved"""," """""
johanson                                          ," ""Johanson""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
kingdom                                           ," ""kingdom""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
kromdraai                                         ," ""Kromdraai""                                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
laetoli                                           ," ""Laetoli""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
lamarck                                           ," ""Lamarck""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
lamarckian inheritance                            ," ""Lamarckian inheritance""                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
law of independent assortment                     ," ""định luật phân phối độc lập""                       "," """""," ""approved"""," """"", 4," ""approved"""," """""
law of segregation                                ," ""luật phân biệt chủng tộc""                          "," """""," ""approved"""," """"", 4," ""approved"""," """""
leakey                                            ," ""Leakey""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
leapers                                           ," ""leapers""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
lemurs                                            ," ""lemurs""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
linnaeus                                          ," ""Linnaeus""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
lorises                                           ," ""lorises""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
lucy                                              ," ""Lucy""                                              "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
lyell                                             ," ""Lyell""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
malthus                                           ," ""Malthus""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
mate recognition species definition               ," ""mate recognition species definition""               "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
meiosis                                           ," ""meiosis""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
mendel                                            ," ""Mendel""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
mendel’s first law of inheritance                 ," ""Mendel’s first law of inheritance""                 "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
mendel’s second law of inheritance                ," ""Mendel’s second law of inheritance""                "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
mendelian traits                                  ," ""Mendelian traits""                                  "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
miocene                                           ," ""Miocene""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
miocene epoch                                     ," ""Miocene epoch""                                     "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
mitosis                                           ," ""mitosis""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
monohybrid cross                                  ," ""monohybrid cross""                                  "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
morphology                                        ," ""hình thái học""                                     "," """""," ""approved"""," """"", 4," ""approved"""," """""
mutation                                          ," ""mutation""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
natural selection                                 ," ""natural selection""                                 "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
olduvai gorge                                     ," ""Olduvai Gorge""                                     "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
oligocene epoch                                   ," ""Oligocene epoch""                                   "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
on the origin of species                          ," ""On the Origin of Species""                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
order                                             ," ""order""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
orrorin tugenensis                                ," ""Orrorin tugenensis""                                "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
ouranopithecus                                    ," ""Ouranopithecus""                                    "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
paleoanthropology                                 ," ""cổ nhân học""                                       "," """""," ""approved"""," """"", 4," ""approved"""," """""
paleocene epoch                                   ," ""Paleocene epoch""                                   "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
paranthropus aethiopicus                          ," ""Paranthropus aethiopicus""                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
paranthropus boisei                               ," ""Paranthropus boisei""                               "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
paranthropus robustus                             ," ""Paranthropus robustus""                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
parapithecoidea                                   ," ""Parapithecoidea""                                   "," """""," ""approved"""," """"", 4," ""approved"""," """""
peppered moths                                    ," ""peppered moths""                                    "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
peripatric speciation                             ," ""peripatric speciation""                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
pesticide resistance                              ," ""Pesticide resistance""                              "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
phenotype                                         ," ""kiểu hình""                                         "," """""," ""approved"""," """"", 4," ""approved"""," """""
phylogenetic relationships                        ," ""phylogenetic relationships""                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
phylogenetic species definition                   ," ""định nghĩa loài theo hệ thống phát sinh loài""      "," """""," ""approved"""," """"", 4," ""approved"""," """""
physical anthropology                             ," ""physical anthropology""                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
pickford                                          ," ""Pickford""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
platyrrhini                                       ," ""Platyrrhini""                                       "," """""," ""approved"""," """"", 4," ""approved"""," """""
pliocene epoch                                    ," ""Pliocene epoch""                                    "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
polygenic traits                                  ," ""đặc điểm đa gen""                                   "," """""," ""approved"""," """"", 4," ""approved"""," """""
primates                                          ," ""Primates""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
primatology                                       ," ""nghiên cứu linh trưởng""                            "," """""," ""approved"""," """"", 4," ""approved"""," """""
principles of geology                             ," ""Principles of Geology""                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
proconsul                                         ," ""Tổng lãnh sự""                                      "," """""," ""approved"""," """"", 4," ""approved"""," """""
prognathism                                       ," ""hàm nhô ra""                                        "," """""," ""approved"""," """"", 4," ""approved"""," """""
prokaryotes                                       ," ""Prokaryotes""                                       "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
prokaryotic                                       ," ""prokaryotic""                                       "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
propliopithecoidea                                ," ""Propliopithecoidea""                                "," """""," ""approved"""," """"", 4," ""approved"""," """""
punctuated equilibrium                            ," ""cân bằng gián đoạn""                                "," """""," ""approved"""," """"", 4," ""approved"""," """""
purgatorius                                       ," ""Luyện ngục""                                        "," """""," ""approved"""," """"", 4," ""approved"""," """""
radioactive isotope                               ," ""radioactive isotope""                               "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
recessive                                         ," ""recessive""                                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
reproductive isolation                            ," ""cách ly sinh sản""                                  "," """""," ""approved"""," """"", 4," ""approved"""," """""
ring speciation                                   ," ""Ring speciation""                                   "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
robust australopithecines                         ," ""robust australopithecines""                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
sahelanthropus tchadensis                         ," ""Sahelanthropus tchadensis""                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
samburupithecus                                   ," ""Samburupithecus""                                   "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
senut                                             ," ""Senut""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
sex cells                                         ," ""sex cells""                                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
sivapithecus                                      ," ""Sivapithecus""                                      "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
social darwinism                                  ," ""social Darwinism""                                  "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
socioecological system                            ," ""hệ thống sinh thái xã hội""                         "," """""," ""approved"""," """"", 4," ""approved"""," """""
somatic cells                                     ," ""somatic cells""                                     "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
speciation                                        ," ""speciation""                                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
species                                           ," ""species""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
species definitions                               ," ""species definitions""                               "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
species name                                      ," ""species name""                                      "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
specific or the trivial name                      ," ""specific or the trivial name""                      "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
spencer                                           ," ""Spencer""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
stratigraphy                                      ," ""địa tầng học""                                      "," """""," ""approved"""," """"", 4," ""approved"""," """""
strepsirrhini                                     ," ""Strepsirrhini""                                     "," """""," ""approved"""," """"", 4," ""approved"""," """""
sulawesi                                          ," ""Sulawesi""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
survival of the fittest                           ," ""sự sống sót của kẻ mạnh nhất""                      "," """""," ""approved"""," """"", 4," ""approved"""," """""
sympatric speciation                              ," ""sự hình thành loài cùng khu vực""                   "," """""," ""approved"""," """"", 4," ""approved"""," """""
systema naturae                                   ," ""Systema Naturae""                                   "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
tarsier                                           ," ""tarsier""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
taung                                             ," ""Taung""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
taxa                                              ," ""đơn vị phân loại""                                  "," """""," ""approved"""," """"", 4," ""approved"""," """""
taxon                                             ," ""phân loại""                                         "," """""," ""approved"""," """"", 4," ""approved"""," """""
taxonomy                                          ," ""Taxonomy""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
theory of macroevolution                          ," ""theory of macroevolution""                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
thermoluminescence dating                         ," ""thermoluminescence dating""                         "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
transitional forms                                ," ""transitional forms""                                "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
uniformitarianism                                 ," ""chủ nghĩa đồng nhất""                               "," """""," ""approved"""," """"", 4," ""approved"""," """""
valgus angle                                      ," ""valgus angle""                                      "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
visual predation hypothesis                       ," ""giả thuyết săn mồi bằng thị giác""                  "," """""," ""approved"""," """"", 4," ""approved"""," """""
wallace                                           ," ""Wallace""                                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
washburn                                          ," ""Washburn""                                          "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
white                                             ," ""White""                                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
zinjanthropus boisei                              ," ""Zinjanthropus boisei""                              "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
